id	tgt_text
39	▁그래서 ▁이제 ▁기회 가 ▁왔 었어요 ▁왔어 서 ▁미스터 월 드 라는 ▁세계 ▁대회 랑 ▁또 ▁에스 비에스 ▁ 슈 퍼 ▁모델
106	▁아니 ▁실제 로 ▁당구 를 ▁하루 에 ▁열 ▁시간 씩 ▁친 데요
128	▁아니 ▁딸 ▁유명한 데 ▁집 ▁좀 ▁멋 있게 ▁짓 고 ▁좀 ▁잘 ▁살아 ▁보 였으면 ▁좋겠 다 ▁말 했어요
156	▁이 ▁땅 의 ▁모 든 ▁어린 이 는 ▁행복하 게 ▁성장 할 ▁권리 가 ▁있습니다 ▁올 래 ▁어른 으로 부터 ▁보호 받 을 ▁권리 도 ▁있습니다
253	▁요즘 은 ▁또 ▁저 출산 이 ▁너무 ▁심하 잖아요 ▁그래서 ▁내 가 ▁애 를 ▁낳 아서 ▁길 을 ▁자신 이 ▁없는 데 ▁이런 ▁생각 들을 ▁하시는 ▁분이 ▁많다 ▁보니까
278	▁결국 ▁쌍 둥 이 ▁동생들 의 ▁중 재 자 ▁언니 가 ▁나 셨습니다
313	▁입양 을 ▁결 심 ▁한 ▁다음에 ▁전화 하실 ▁필요 ▁없고요 ▁그냥 ▁전화 ▁상담 을 ▁통해 서 ▁어떤 ▁건가 ▁자세 히 ▁알아보 시는 ▁그런 ▁절차 도 ▁필요하 지 ▁않을까 ▁싶습니다
323	▁준비 시키 는 ▁기간 이 ▁필요하다 ▁든 ▁가 ▁이 럴 ▁때 ▁하는 ▁경우 가 ▁인 제 ▁저희 가 ▁지금 ▁일반적 으로 ▁이야기 하는 ▁가정 ▁위탁 입니다
347	▁친 자 ▁입양 의 ▁경우 는 ▁인 제 ▁전 적으로 ▁내 ▁아이 가 ▁되는 ▁거기 ▁때문에 ▁부모 가 ▁비용 을 ▁부담 하지만 ▁가정 ▁위탁 의 ▁경우 는 ▁말 ▁그대로 ▁위탁 이기 ▁때문에
351	▁그 걸 ▁보다 ▁못해 ▁아내 가 ▁좀 ▁돌 봐 ▁준다 고 ▁집 을 ▁아이 를 ▁데 리고 ▁왔습니다 ▁그게 ▁아이 와 의 ▁인연 의 ▁시작 이 ▁되었 습니다
378	▁어느 ▁날 ▁아빠 가 ▁이 ▁주 ▁만 ▁아이 를 ▁봐 달라고
379	▁이제 ▁담 임 ▁선생님 하고 ▁이제 ▁그 ▁상의 를 ▁해서 ▁아빠 가 ▁집 을 ▁알려 줘 서 ▁집에 ▁갔는데 ▁그동안 ▁이 ▁아이 가 ▁돌봄 을 ▁잘 ▁아빠 한테 ▁받 지 ▁못 하고 ▁있는
419	▁인 쇄 ▁관련 된 ▁일 을 ▁하면서 ▁디자 인 을 ▁공부 를 ▁하고 ▁있는데 ▁이제 ▁좀 ▁더 ▁이거에 ▁대해서 ▁나 아가면서
441	▁이런 ▁생각 ▁하고요 ▁아이 에게 ▁가 장 ▁중요한 ▁것은 ▁자 랄 ▁수 ▁있는 ▁환경 에서 ▁부모님 이 ▁든든 하게 ▁계셔 ▁주시 는 ▁것 ▁그래서 ▁자랑 스러 운 ▁일 ▁기 쁜 ▁일
454	▁지금 은 ▁이제 ▁중 절 모 ▁벗 으면 ▁못 ▁알아보 세요
457	▁사 생활 일 ▁이 ▁그 니까 ▁제 가 ▁좀 ▁편 하게 ▁다니 고 ▁싶으 면 ▁모 자 ▁ 벋 고 ▁다니면 ▁전 혀 ▁못 알아봐
543	▁낮 에 ▁학교 ▁가고 ▁밤 에 ▁이 ▁그 룹 하고
581	▁사 모 란 ▁곡 을 ▁쓰 겠습니다 ▁그럼 ▁허 락 을 ▁받아 야 ▁돼요
632	▁사랑 ▁이 별 ▁얘기 지만 ▁코로나 와 ▁이 별 ▁하고 ▁싶어요
662	▁이번에 는 ▁좀 ▁우리가 ▁한번 ▁아 홉 분 ▁스 님이 ▁좀 ▁이렇게 ▁대중 에 ▁나가 ▁가지고
689	▁저기 는
701	▁이것 이 ▁우리가 ▁살아가 는 ▁기본적 인 ▁욕망 인데 ▁그런 ▁욕망 ▁자체 를 ▁완 전 히 ▁배 제 ▁시키 고
730	▁일반인들이 ▁일반인들이
788	▁저는 ▁지금 ▁요즘 에 ▁이제 ▁코로나 ▁때문에 ▁그렇지 만 ▁저는 ▁그냥 ▁엄마 가 ▁조금 이라도 ▁건강 하실 ▁때 ▁그냥 ▁많은 ▁것을 ▁함께 ▁나누 고 ▁많은 ▁것을 ▁보여드리 고 ▁싶고
831	▁사실 ▁저 ▁시절 은 요 ▁뭐 ▁소 위 ▁말 하는 ▁이렇게 ▁보 정도 ▁안 ▁되고 ▁화장 도 ▁그렇게 ▁기술 이 ▁발달 하지 ▁않았 을 ▁텐데 ▁저렇게 ▁아름다 우 세요
833	▁그래서 ▁더 ▁당당 해 ▁보이 신 ▁게 ▁아닌 가 ▁싶어요 ▁또 ▁무엇보다 ▁어머니 ▁사랑 을 ▁충분 히 ▁받 으셨 다고 ▁하니까
920	▁기본적 으로 ▁걷 게 ▁되 더라고요
955	▁근 데 ▁많은 ▁분들이 ▁터 프라 는 ▁모습 을 ▁오르 지 ▁그 ▁캐릭터 ▁이제 ▁방송에 ▁나가고 ▁아니면 ▁어디 ▁출연하 고 ▁할 ▁때 ▁그것 만 ▁보면서 ▁이제 ▁터 프라 는 ▁그게 ▁많이 ▁이제 ▁발 성이 ▁됐어요
957	▁강 주 은 ▁씨 ▁나오 셔서 ▁남편 ▁흉 도 ▁좀 ▁보고 ▁그러 셔야 ▁되는데 ▁ 왠 지 ▁남편 ▁자랑 만 ▁할 ▁것 ▁같은 ▁그런 ▁느낌 도 ▁드는데
962	▁이 ▁말씀 을 ▁참 ▁많이 ▁나누 긴 ▁했었어요 ▁그래서 ▁지루 하신 ▁분들께 서 ▁죄송 하고요 ▁우리가 ▁미스 코 리 아 ▁때 ▁제 가 ▁이제 ▁선 발 ▁대회 에 ▁나갔 었고
979	▁프로 ▁ 포즈 라는 ▁거 는 ▁진짜 ▁결혼해 ▁주시 겠습니까 ▁이런 ▁말을 ▁하신 ▁건가 요
1032	▁그렇죠 ▁그래서 ▁그 ▁부담이 ▁대단 했었고요 ▁어디 ▁가 더라도 ▁최 민 ▁그 ▁스타 를 ▁결혼 해서 ▁좋겠 다 ▁ 라는 ▁말씀 들을 ▁종 종 ▁하셨고
1155	▁처음에 ▁만났 을 ▁때 ▁남편 이 ▁굉장 히 ▁좀 ▁이렇게 ▁좀 ▁ 겉 으로 ▁굉장 히 ▁좀 좀 ▁ 덜렁 덜렁 ▁이렇게 ▁좀 ▁막 ▁좀 ▁그 랬잖아요 ▁거 칠 고 ▁저는 ▁좀 ▁약 간 ▁ 얌 전하고
1185	▁오늘 도 ▁오 후 ▁내 내 ▁계속 ▁비 가 ▁내리 고요 ▁또 ▁지역에 ▁따라 ▁강한 ▁바람이 ▁부 는 ▁곳 도 ▁있다고 ▁하는 군요
1217	▁아니 아니 ▁시즌 ▁원 에서 도 ▁난 리 를 ▁치고 ▁다 ▁뒤 집 어 ▁엎 고 ▁다 ▁했는데 ▁원인 은 ▁보시면 ▁알 거야
1285	▁혼 자 ▁처음 ▁사시 게 ▁됐 을 ▁때 ▁그 ▁느낌 을 ▁혹시 ▁기억 ▁ 하세요
1291	▁꿈 이어 가지고 ▁결혼 한 ▁후에 도 ▁그 ▁꿈 을 ▁못 ▁버리 고 ▁시부모님 께 ▁허 락 을 ▁받아서
1366	▁저는 ▁있었어요
1385	▁이래 ▁저래 ▁요즘 ▁다 ▁ 같이 ▁힘든 ▁시기 ▁보내 고 ▁있는데요 ▁웃으 니까 ▁웃어 ▁지네요 ▁또
1389	▁요즘 ▁코로나 ▁때문이라 도 ▁힘든 데 ▁그래도 ▁여기저기 서 ▁일이 ▁들어오 고 ▁그냥 ▁노래하는 데 도 ▁생기 고 ▁강 연 하는데 도 ▁생기 고 ▁그러니까 ▁여기저기 ▁많이 ▁돌아다니 죠
1402	▁다 ▁팔아 ▁가지고 ▁들어 갈 ▁때는 ▁그냥 ▁내 가 ▁ 늴 리 리 야 ▁ 늴 리 리 야 ▁이러 고 ▁뛰어 ▁들어가는 ▁거예요
1424	▁연예인들 이 ▁정말 ▁힘들 고 ▁어려운 데 ▁연출 자가 ▁대 본 ▁들고 ▁올 ▁때 ▁좋은 ▁역할 인지 ▁나 쁜 ▁역할 인지 ▁알아 요
1447	▁이제 ▁또 ▁제 가 ▁살 길 을 ▁찾아 야 ▁되니까 요 ▁그동안 ▁사실 ▁정치 ▁하 느라고 ▁미 뤄 뒀 던 ▁일이 ▁있거든요 ▁연구 소 가 ▁있는데요
1457	▁지금 도 ▁계속 ▁많은 ▁스포츠 계 의 ▁폭력 ▁문제 ▁아동 ▁학 대 ▁문제 ▁재해 ▁재난 ▁이런 ▁것들 이 ▁많은데 ▁근 데 ▁일은 ▁안 하고 ▁자 꾸 ▁싸 우는 ▁그런 ▁국회 ▁다 ▁보니까 ▁마음 이 ▁너무 ▁무 거웠 었고요
1491	▁그러다 ▁또 ▁또 ▁사고 를 ▁치고 ▁또 ▁ 엉 뚱 한 ▁사람 을 ▁신고 하고
1520	▁그 ▁뒤 로 ▁인 제 ▁경찰 ▁대학에서 ▁교 편 을 ▁잡 으시고 ▁후 학 ▁양성 에 ▁얼마 나 ▁매 진 하 셨는지 는 ▁많이 들 ▁알 고 ▁계 실 ▁텐데
1529	▁그러면 ▁소년 ▁범죄 가 ▁지금 ▁현재 ▁하나 는 ▁이 ▁이 ▁친구들 ▁중에 ▁일부 가 ▁대단 히 ▁정말 ▁어른 보다 ▁더 ▁심각 한 ▁강력 ▁범죄 를 ▁저 지 르잖아요
1576	▁만났 다는데 ▁저는 ▁기억 에는 ▁없 거든요 ▁기억 에는 ▁없고 ▁임 용 이 는 ▁제 가 ▁한 ▁번 ▁기억 이 ▁있어요
1638	▁유행 가 를 ▁많이 ▁불러 가지고
1696	▁본인 이 ▁해요 ▁예전에 는 ▁제 가 ▁좀 ▁어 드 바이 스 를 ▁해 줬 는데 ▁지금 은 ▁본인 이 ▁하고
1731	▁어 쨌 든 ▁오늘 ▁아침 부터 ▁두 ▁분 ▁나 와 ▁주 셔서 ▁감사 하고요
1801	▁신 성 씨 가 ▁여러분 ▁아시 는 ▁것 ▁ 처럼 ▁효 자 에요
1807	▁근 데 ▁어 쨌 든 ▁고향 으로 ▁다시 ▁내려가 는 ▁건 ▁쉽지 ▁않 은 ▁결정 ▁ 이었을 텐데
1811	▁저 ▁같은 ▁경우 는 ▁큐 브 ▁엔 터 테이 먼 트 라는 ▁회사 가 ▁있는데 ▁아이 돌 ▁회사 ▁였 어요
1815	▁그래서 ▁뭐 ▁엠 씨 ▁보시 는 ▁분들 도 ▁그렇고 ▁또 ▁주변에 ▁있는 ▁분들 도 ▁좀 ▁이름 을 ▁바꿨 으면 ▁좋겠 다 ▁부를 ▁때 ▁확 ▁귀 에 ▁들어오는 ▁이름 들이 ▁대부분 ▁성공 을 ▁한다
1842	▁어떻게 ▁이번 ▁농활 ▁원 정 대 를 ▁통해 서 ▁뭘 ▁느꼈 는 지 를 ▁좀 ▁여쭤보 고 ▁싶어요
1910	▁근 데 ▁그분들 ▁보면 ▁그냥 ▁부모님 ▁생각이 ▁나고 ▁우리 ▁아버지 ▁우리 ▁어머니 ▁같은 ▁생각이 ▁그렇게 ▁들어요
1966	▁근 데 ▁아무 리 ▁그래도 ▁ 킬 리만 자로 가 ▁완 만 하다는 ▁얘 긴 ▁제 가 ▁처음 ▁듣 는데요
