id	src_audio	src_text	tgt_audio	tgt_text	tgt_units
	tgt_units				
39	wavs/train/iv_K_018_001_017_0059.wav	그래서 이제 기회가 왔었어요. 왔어서 미스터월드라는 세계 대회랑 또 에스비에스 슈퍼 모델.	wavs/train/iv_K_018_001_017_0059_en.wav	So I had a chance. I came to the world competition called Mr. World and also SBS Super Model.	
	/Users/hayubin/EchoStream/data/units/iv_K_018_001_017_0059_en.npy				
106	wavs/train/iv_K_018_001_042_0153.wav	아니, 실제로 당구를 하루에 열 시간씩 친데요.	wavs/train/iv_K_018_001_042_0153_en.wav	I heard you actually play billiards ten hours a day.	
	/Users/hayubin/EchoStream/data/units/iv_K_018_001_042_0153_en.npy				
128	wavs/train/iv_K_018_001_051_0188.wav	아니 딸 유명한데, 집 좀 멋있게 짓고, 좀 잘 살아 보였으면 좋겠다. 말했어요.	wavs/train/iv_K_018_001_051_0188_en.wav	"""Your daughter is famous, so you should build a nice house which looks good."" people said."	
	/Users/hayubin/EchoStream/data/units/iv_K_018_001_051_0188_en.npy				
156	wavs/train/iv_k_018_002_002_0007.wav	이 땅의 모든 어린이는 행복하게 성장할 권리가 있습니다. 올래 어른으로부터 보호받을 권리도 있습니다.	wavs/train/iv_k_018_002_002_0007_en.wav	Every child on this land has the right to grow up happily. You also have the right to be protected from adults.	
	/Users/hayubin/EchoStream/data/units/iv_k_018_002_002_0007_en.npy				
253	wavs/train/iv_k_018_002_029_0148.wav	요즘은 또 저출산이 너무 심하잖아요? 그래서, 내가 애를 낳아서 길을 자신이 없는데? 이런 생각들을 하시는 분이 많다 보니까,	wavs/train/iv_k_018_002_029_0148_en.wav	The low fertility rate is so severe these days. So, there are many people who think that they are not confident in raising a child.	
	/Users/hayubin/EchoStream/data/units/iv_k_018_002_029_0148_en.npy				
278	wavs/train/iv_k_018_002_039_0190.wav	결국, 쌍둥이 동생들의 중재자 언니가 나셨습니다.	wavs/train/iv_k_018_002_039_0190_en.wav	Eventually, the mediator of the twins stepped up.	
	/Users/hayubin/EchoStream/data/units/iv_k_018_002_039_0190_en.npy				
313	wavs/train/iv_k_018_002_051_0245.wav	입양을 결심 한, 다음에 전화하실 필요 없고요. 그냥 전화 상담을 통해서, 어떤 건가? 자세히 알아보시는 그런 절차도 필요하지 않을까? 싶습니다.	wavs/train/iv_k_018_002_051_0245_en.wav	You don't have to call me after you decide to adopt. I think a procedure to find out more about us by phone is also needed.	
	/Users/hayubin/EchoStream/data/units/iv_k_018_002_051_0245_en.npy				
